ability_id,short_effect,identifier
79,Increases damage inflicted to 1.25× against Pokémon of the same gender. but decreases damage to 0.75× against the opposite gender.,rivalry
80,Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier} upon [flinching]{mechanic:flinching}.,steadfast
81,Increases evasion to 1.25× during [hail]{mechanic:hail}.  Protects against hail damage.,snow-cloak
82,Makes the Pokémon eat any held Berry triggered by low [HP]{mechanic:hp} below 1/2 its max HP.,gluttony
83,Raises [Attack]{mechanic:attack} to the maximum of six [stages]{mechanic:stat-modifier} upon receiving a [critical hit]{mechanic:critical-hit}.,anger-point
84,Doubles [Speed]{mechanic:speed} upon using or losing a held item.,unburden
85,Halves damage from []{type:fire} moves and [burns]{mechanic:burn}.,heatproof
86,Doubles the Pokémon's [stat modifiers]{mechanic:stat-modifiers}.  These doubled modifiers are still capped at -6 or 6 stages.,simple
87,Causes 1/8 max [HP]{mechanic:hp} in damage each turn during [strong sunlight]{mechanic:strong-sunlight}. but heals for 1/8 max HP during [rain]{mechanic:rain}.  Increases damage from []{type:fire} moves to 1.25×. but absorbs []{type:water} moves. healing for 1/4 max HP.,dry-skin
88,Raises the attack stat corresponding to the opponents' weaker defense one [stage]{mechanic:stat-modifier} upon entering battle.,download
89,Strengthens punch-based moves to 1.2× their power.,iron-fist
90,Heals for 1/8 max [HP]{mechanic:hp} after each turn when [poisoned]{mechanic:poison} in place of damage.,poison-heal
91,Increases the [same-type attack bonus]{mechanic:same-type-attack-bonus} from 1.5× to 2×.,adaptability
92,Extends two-to-five-hit moves and []{move:triple-kick} to their full length every time.,skill-link
93,Cures any [major status ailment]{mechanic:major-status-ailment} after each turn during [rain]{mechanic:rain}.,hydration
94,Increases [Special Attack]{mechanic:special-attack} to 1.5× but costs 1/8 max [HP]{mechanic:hp} after each turn during [strong sunlight]{mechanic:strong-sunlight}.,solar-power
95,Increases [Speed]{mechanic:speed} to 1.5× with a [major status ailment]{mechanic:major-status-ailment}.,quick-feet
96,Makes the Pokémon's moves all act []{type:normal}-type.,normalize
97,Strengthens [critical hits]{mechanic:critical-hit} to inflict 3× damage rather than 2×.,sniper
98,Protects against damage not directly caused by a move.,magic-guard
99,Ensures all moves used by and against the Pokémon hit.,no-guard
100,Makes the Pokémon move last within its move's priority bracket.,stall
101,Strengthens moves of 60 base power or less to 1.5× their power.,technician
102,Protects against [major status ailments]{mechanic:major-status-ailments} during [strong sunlight]{mechanic:strong-sunlight}.,leaf-guard
103,Prevents the Pokémon from using its held item in battle.,klutz
104,Bypasses targets' abilities if they could hinder or prevent a move.,mold-breaker
105,Raises moves' [critical hit]{mechanic:critical-hit} rates one stage.,super-luck
106,Damages the attacker for 1/4 its max [HP]{mechanic:hp} when knocked out by a contact move.,aftermath
107,Notifies all trainers upon entering battle if an opponent has a [super-effective]{mechanic:super-effective} move. []{move:self-destruct}. []{move:explosion}. or a one-hit KO move.,anticipation
108,Reveals the opponents' strongest move upon entering battle.,forewarn
109,Ignores other Pokémon's stat modifiers for damage and accuracy calculation.,unaware
110,Doubles damage inflicted with [not-very-effective]{mechanic:not-very-effective} moves.,tinted-lens
111,Decreases damage taken from [super-effective]{mechanic:super-effective} moves by 1/4.,filter
112,Halves [Attack]{mechanic:attack} and [Speed]{mechanic:speed} for five turns upon entering battle.,slow-start
113,Lets the Pokémon's []{type:normal} and []{type:fighting} moves hit []{type:ghost} Pokémon.,scrappy
114,Redirects single-target []{type:water} moves to this Pokémon where possible.  Absorbs Water moves. raising [Special Attack]{mechanic:special-attack} one [stage]{mechanic:stat-modifier}.,storm-drain
115,Heals for 1/16 max [HP]{mechanic:hp} after each turn during hail.  Protects against hail damage.,ice-body
116,Decreases damage taken from [super-effective]{mechanic:super-effective} moves by 1/4.,solid-rock
117,Summons [hail]{mechanic:hail} that lasts indefinitely upon entering battle.,snow-warning
118,The Pokémon may pick up []{item:honey} after battle.,honey-gather
119,Reveals an opponent's held item upon entering battle.,frisk
120,Strengthens recoil moves to 1.2× their power.,reckless
121,Changes []{pokemon:arceus}'s type and form to match its held Plate.,multitype
122,Increases friendly Pokémon's [Attack]{mechanic:attack} and [Special Defense]{mechanic:special-defense} to 1.5× during [strong sunlight]{mechanic:strong-sunlight}.,flower-gift
123,Damages [sleeping]{mechanic:sleep} opponents for 1/8 their max [HP]{mechanic:hp} after each turn.,bad-dreams
124,Steals attacking Pokémon's held items on contact.,pickpocket
125,Strengthens moves with extra effects to 1.3× their power. but prevents their extra effects.,sheer-force
126,Inverts [stat changes]{mechanic:stat-modifiers}.,contrary
127,Prevents opposing Pokémon from eating held Berries.,unnerve
128,Raises [Attack]{mechanic:attack} two [stages]{mechanic:stat-modifier} upon having any stat lowered.,defiant
129,Halves [Attack]{mechanic:attack} and [Special Attack]{mechanic:special-attack} at 50% max [HP]{mechanic:hp} or less.,defeatist
130,Has a 30% chance of [Disabling]{move:disable} any move that hits the Pokémon.,cursed-body
131,Has a 30% chance of curing each adjacent ally of any [major status ailment]{mechanic:major-status-ailment} after each turn.,healer
132,Decreases all direct damage taken by friendly Pokémon to 0.75×.,friend-guard
133,Raises [Speed]{mechanic:speed} and lowers [Defense]{mechanic:defense} by one stage each upon being hit by a physical move.,weak-armor
134,Doubles the Pokémon's weight.,heavy-metal
135,Halves the Pokémon's weight.,light-metal
136,Halves damage taken from full [HP]{mechanic:hp}.,multiscale
137,Increases [Attack]{mechanic:attack} to 1.5× when [poisoned]{mechanic:poison}.,toxic-boost
138,Increases [Special Attack]{mechanic:special-attack} to 1.5× when [burned]{mechanic:burn}.,flare-boost
139,Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.,harvest
140,Protects against friendly Pokémon's damaging moves.,telepathy
141,Raises a random stat two [stages]{mechanic:stat-modifier} and lowers another one stage after each turn.,moody
142,Protects against damage from [weather]{mechanic:weather}.,overcoat
143,Has a 30% chance of [poisoning]{mechanic:poison} target Pokémon upon contact.,poison-touch
144,Heals for 1/3 max [HP]{mechanic:hp} upon switching out.,regenerator
145,Protects against [Defense]{mechanic:defense} drops.,big-pecks
146,Doubles [Speed]{mechanic:speed} during a [sandstorm]{mechanic:sandstorm}.  Protects against sandstorm damage.,sand-rush
147,Lowers incoming non-damaging moves' base [accuracy]{mechanic:accuracy} to exactly 50%.,wonder-skin
148,Strengthens moves to 1.3× their power when moving last.,analytic
149,Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move.,illusion
150,[Transforms]{move:transform} upon entering battle.,imposter
151,Bypasses []{move:light-screen}. []{move:reflect}. and []{move:safeguard}.,infiltrator
152,Changes attacking Pokémon's abilities to Mummy on contact.,mummy
153,Raises [Attack]{mechanic:attack} one stage upon KOing a Pokémon.,moxie
154,Raises [Attack]{mechanic:attack} one stage upon taking damage from a []{type:dark} move.,justified
155,Raises [Speed]{mechanic:speed} one [stage]{mechanic:stat-modifier} upon being hit by a []{type:dark}. []{type:ghost}. or []{type:bug} move.,rattled
156,Reflects most non-damaging moves back at their user.,magic-bounce
157,Absorbs []{type:grass} moves. raising [Attack]{mechanic:attack} one [stage]{mechanic:stat-modifier}.,sap-sipper
158,Raises non-damaging moves' priority by one stage.,prankster
159,Strengthens []{type:rock}. []{type:ground}. and []{type:steel} moves to 1.3× their power during a [sandstorm]{mechanic:sandstorm}.  Protects against sandstorm damage.,sand-force
160,Damages attacking Pokémon for 1/8 their max [HP]{mechanic:hp} on contact.,iron-barbs
161,Changes []{pokemon:darmanitan}'s form after each turn depending on its [HP]{mechanic:hp}: Zen Mode below 50% max HP. and Standard Mode otherwise.,zen-mode
162,Increases moves' accuracy to 1.1× for friendly Pokémon.,victory-star
163,Bypasses targets' abilities if they could hinder or prevent moves.,turboblaze
164,Bypasses targets' abilities if they could hinder or prevent moves.,teravolt
165,Protects allies against moves that affect their mental state.,aroma-veil
166,Protects friendly []{type:grass} Pokémon from having their stats lowered by other Pokémon.,flower-veil
167,Restores HP upon eating a Berry. in addition to the Berry's effect.,cheek-pouch
168,Changes the bearer's type to match each move it uses.,protean
169,Halves damage from physical attacks.,fur-coat
170,Steals the target's held item when the bearer uses a damaging move.,magician
171,Protects against bullet. ball. and bomb-based moves.,bulletproof
172,Raises Special Attack by two stages upon having any stat lowered.,competitive
173,Strengthens biting moves to 1.5× their power.,strong-jaw
174,Turns the bearer's []{type:normal} moves into []{type:ice} moves and strengthens them to 1.3× their power.,refrigerate
175,Prevents friendly Pokémon from sleeping.,sweet-veil
176,Changes []{pokemon:aegislash} to Blade Forme before using a damaging move. or Shield Forme before using []{move:kings-shield}.,stance-change
177,Raises []{type:flying} moves' priority by one stage.,gale-wings
178,Strengthens aura and pulse moves to 1.5× their power.,mega-launcher
179,Boosts Defense while []{move:grassy-terrain} is in effect.,grass-pelt
180,Passes the bearer's held item to an ally when the ally uses up its item.,symbiosis
181,Strengthens moves that make contact to 1.33× their power.,tough-claws
182,Turns the bearer's []{type:normal} moves into []{type:fairy} moves and strengthens them to 1.3× their power.,pixilate
183,Lowers attacking Pokémon's Speed by one stage on contact.,gooey
184,Turns the bearer's []{type:normal} moves into []{type:flying} moves and strengthens them to 1.3× their power.,aerilate
185,Lets the bearer hit twice with damaging moves.  The second hit has half power.,parental-bond
186,Strengthens []{type:dark} moves to 1.33× their power for all friendly and opposing Pokémon.,dark-aura
187,Strengthens []{type:fairy} moves to 1.33× their power for all friendly and opposing Pokémon.,fairy-aura
188,Makes []{ability:dark-aura} and []{ability:fairy-aura} weaken moves of their respective types.,aura-break
189,Creates heavy rain. which has all the properties of Rain Dance. cannot be replaced. and causes damaging Fire moves to fail.,primordial-sea
190,Creates extremely harsh sunlight. which has all the properties of Sunny Day. cannot be replaced. and causes damaging Water moves to fail.,desolate-land
191,Creates a mysterious air current. which cannot be replaced and causes moves to never be super effective against Flying Pokémon.,delta-stream
192,Raises this Pokémon's Defense by one stage when it takes damage from a move.,stamina
193,This Pokémon automatically switches out when its HP drops below half.,wimp-out
194,This Pokémon automatically switches out when its HP drops below half.,emergency-exit
195,Raises this Pokémon's Defense by two stages when it's hit by a Water move.,water-compaction
196,This Pokémon's moves critical hit against poisoned targets.,merciless
197,Transforms this Minior between Core Form and Meteor Form.  Prevents major status ailments and drowsiness while in Meteor Form.,shields-down
198,This Pokémon's moves have double power against Pokémon that switched in this turn.,stakeout
199,Halves damage from Fire moves. doubles damage of Water moves. and prevents burns.,water-bubble
200,This Pokémon's Steel moves have 1.5× power.,steelworker
201,Raises this Pokémon's Special Attack by one stage every time its HP drops below half.,berserk
202,During Hail. this Pokémon has double Speed.,slush-rush
203,This Pokémon's moves do not make contact.,long-reach
204,Sound-based moves become Water-type.,liquid-voice
205,This Pokémon's healing moves have their priority increased by 3.,triage
206,This Pokémon's Normal moves are Electric and have their power increased to 1.2×.,galvanize
207,Doubles this Pokémon's Speed on Electric Terrain.,surge-surfer
208,Wishiwashi becomes Schooling Form when its HP is 25% or higher.,schooling
209,Prevents the first instance of battle damage.,disguise
210,Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.,battle-bond
211,Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.,power-construct
212,This Pokémon can inflict poison on Poison and Steel Pokémon.,corrosion
213,This Pokémon always  acts as though it were Asleep.,comatose
214,Opposing Pokémon cannot use priority attacks.,queenly-majesty
215,When this Pokémon faints from an opponent's move. that opponent takes damage equal to the HP this Pokémon had remaining.,innards-out
216,Whenever another Pokémon uses a dance move. this Pokémon will use the same move immediately afterwards.,dancer
217,Ally Pokémon's moves have their power increased to 1.3×.,battery
218,Damage from contact moves is halved.  Damage from Fire moves is doubled.,fluffy
219,Opposing Pokémon cannot use priority attacks.,dazzling
220,This Pokémon's Special Attack rises by one stage every time any Pokémon faints.,soul-heart
221,When this Pokémon takes regular damage from a contact move. the attacking Pokémon's Speed lowers by one stage.,tangling-hair
222,When an ally faints. this Pokémon gains its Ability.,receiver
223,When an ally faints. this Pokémon gains its Ability.,power-of-alchemy
224,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.,beast-boost
225,Changes this Pokémon's type to match its held Memory.,rks-system
226,When this Pokémon enters battle. it changes the terrain to Electric Terrain.,electric-surge
227,When this Pokémon enters battle. it changes the terrain to Psychic Terrain.,psychic-surge
228,When this Pokémon enters battle. it changes the terrain to Misty Terrain.,misty-surge
229,When this Pokémon enters battle. it changes the terrain to Grassy Terrain.,grassy-surge
230,Other Pokémon cannot lower this Pokémon's stats.,full-metal-body
231,When this Pokémon has full HP. regular damage from moves is halved.,shadow-shield
232,Reduces super-effective damage to 0.75×.,prism-armor
233,Increases super-effective damage dealt to 1.25×.,neuroforce
